Property Name,Definition,Data Type,Example Values,Analytics Requirements
$address_1,User’s address line 1,String,Apartment 101,
$address_2,User’s address line 2,String,11 Farley street,
$city,User’s city,String,Birmingham,
$country,User’s country,String,United Kingdom,
$email,User’s email,String,test@kubixmedia.co.uk,
$first_name,User's first name,String,Yalcin,
$last_name,User's last name,String,Kaya,
$phone_number,User’s phone number,Numeric,07871234567,
$postcode,User’s post code,String,B1 1AB,
x-stape-user-id,user ID,String,123abc,
