Name,Category,Description
Google Tag Manager,"CDP, Tag Manager",tag management and version control
Stape.io,"Data Integration, Tag Manager",Server side tagging solution.
Shopify,CMS,"Website "
Meta Ads,Advertising,"Meta ads platform "
Google Ads,Advertising,"Google ads platform "
Google Search Console,Analytics,Organic search listings
Google Merchant Center,CSS,"Google shopping "
Google Analytics,Analytics,Web traffic analytics platform
Klaviyo,"Automation, Email Marketing","Email marketing "
Mulwi,Product Feed,Product Feed app
